x,y,w_r,w_l
0.0400,-0.0600,0.6500,0.6500
0.0465,-0.0637,0.6500,0.6500
0.0527,-0.0664,0.6500,0.6500
0.0584,-0.0682,0.6500,0.6500
0.0638,-0.0691,0.6500,0.6500
0.0688,-0.0692,0.6500,0.6500
0.0735,-0.0685,0.6500,0.6500
0.0780,-0.0672,0.6500,0.6500
0.0822,-0.0653,0.6500,0.6500
0.0862,-0.0629,0.6500,0.6500
0.0900,-0.0600,0.6500,0.6500
0.0937,-0.0567,0.6500,0.6500
0.0972,-0.0531,0.6500,0.6500
0.1006,-0.0493,0.6500,0.6500
0.1039,-0.0453,0.6500,0.6500
0.1072,-0.0411,0.6500,0.6500
0.1105,-0.0370,0.6500,0.6500
0.1138,-0.0328,0.6500,0.6500
0.1171,-0.0288,0.6500,0.6500
0.1205,-0.0249,0.6500,0.6500
0.1239,-0.0212,0.6500,0.6500
0.1276,-0.0178,0.6500,0.6500
0.1313,-0.0148,0.6500,0.6500
0.1353,-0.0123,0.6500,0.6500
0.1394,-0.0102,0.6500,0.6500
0.1438,-0.0088,0.6500,0.6500
0.1484,-0.0078,0.6500,0.6500
0.1532,-0.0073,0.6500,0.6500
0.1581,-0.0071,0.6500,0.6500
0.1632,-0.0073,0.6500,0.6500
0.1684,-0.0077,0.6500,0.6500
0.1736,-0.0082,0.6500,0.6500
0.1788,-0.0088,0.6500,0.6500
0.1841,-0.0094,0.6500,0.6500
0.1893,-0.0099,0.6500,0.6500
0.1945,-0.0103,0.6500,0.6500
0.1996,-0.0106,0.6500,0.6500
0.2046,-0.0107,0.6500,0.6500
0.2096,-0.0108,0.6500,0.6500
0.2146,-0.0107,0.6500,0.6500
0.2196,-0.0106,0.6500,0.6500
0.2245,-0.0105,0.6500,0.6500
0.2295,-0.0103,0.6500,0.6500
0.2344,-0.0102,0.6500,0.6500
0.2393,-0.0100,0.6500,0.6500
0.2443,-0.0099,0.6500,0.6500
0.2493,-0.0098,0.6500,0.6500
0.2543,-0.0098,0.6500,0.6500
0.2593,-0.0098,0.6500,0.6500
0.2643,-0.0098,0.6500,0.6500
0.2693,-0.0098,0.6500,0.6500
0.2743,-0.0099,0.6500,0.6500
0.2793,-0.0099,0.6500,0.6500
0.2843,-0.0100,0.6500,0.6500
0.2893,-0.0100,0.6500,0.6500
0.2944,-0.0100,0.6500,0.6500
0.2994,-0.0100,0.6500,0.6500
0.3044,-0.0101,0.6500,0.6500
0.3094,-0.0101,0.6500,0.6500
0.3144,-0.0101,0.6500,0.6500
0.3194,-0.0100,0.6500,0.6500
0.3244,-0.0100,0.6500,0.6500
0.3294,-0.0100,0.6500,0.6500
0.3344,-0.0100,0.6500,0.6500
0.3394,-0.0100,0.6500,0.6500
0.3444,-0.0100,0.6500,0.6500
0.3494,-0.0100,0.6500,0.6500
0.3544,-0.0100,0.6500,0.6500
0.3594,-0.0100,0.6500,0.6500
0.3644,-0.0100,0.6500,0.6500
0.3694,-0.0100,0.6500,0.6500
0.3744,-0.0100,0.6500,0.6500
0.3794,-0.0100,0.6500,0.6500
0.3844,-0.0100,0.6500,0.6500
0.3894,-0.0100,0.6500,0.6500
0.3944,-0.0100,0.6500,0.6500
0.3994,-0.0100,0.6500,0.6500
0.4044,-0.0100,0.6500,0.6500
0.4094,-0.0100,0.6500,0.6500
0.4144,-0.0100,0.6500,0.6500
0.4194,-0.0100,0.6500,0.6500
0.4244,-0.0100,0.6500,0.6500
0.4294,-0.0100,0.6500,0.6500
0.4344,-0.0100,0.6500,0.6500
0.4394,-0.0100,0.6500,0.6500
0.4444,-0.0100,0.6500,0.6500
0.4494,-0.0100,0.6500,0.6500
0.4544,-0.0100,0.6500,0.6500
0.4594,-0.0100,0.6500,0.6500
0.4644,-0.0100,0.6500,0.6500
0.4694,-0.0100,0.6500,0.6500
0.4744,-0.0100,0.6500,0.6500
0.4794,-0.0100,0.6500,0.6500
0.4844,-0.0100,0.6500,0.6500
0.4894,-0.0100,0.6500,0.6500
0.4944,-0.0100,0.6500,0.6500
0.4994,-0.0100,0.6500,0.6500
0.5044,-0.0100,0.6500,0.6500
0.5094,-0.0100,0.6500,0.6500
0.5144,-0.0100,0.6500,0.6500
0.5194,-0.0100,0.6500,0.6500
0.5244,-0.0100,0.6500,0.6500
0.5294,-0.0100,0.6500,0.6500
0.5344,-0.0100,0.6500,0.6500
0.5394,-0.0100,0.6500,0.6500
0.5444,-0.0100,0.6500,0.6500
0.5494,-0.0100,0.6500,0.6500
0.5544,-0.0100,0.6500,0.6500
0.5594,-0.0100,0.6500,0.6500
0.5644,-0.0100,0.6500,0.6500
0.5694,-0.0100,0.6500,0.6500
0.5744,-0.0100,0.6500,0.6500
0.5794,-0.0100,0.6500,0.6500
0.5844,-0.0100,0.6500,0.6500
0.5894,-0.0100,0.6500,0.6500
0.5944,-0.0100,0.6500,0.6500
0.5994,-0.0100,0.6500,0.6500
0.6044,-0.0100,0.6500,0.6500
0.6094,-0.0100,0.6500,0.6500
0.6144,-0.0100,0.6500,0.6500
0.6194,-0.0100,0.6500,0.6500
0.6244,-0.0100,0.6500,0.6500
0.6294,-0.0100,0.6500,0.6500
0.6344,-0.0100,0.6500,0.6500
0.6394,-0.0100,0.6500,0.6500
0.6444,-0.0100,0.6500,0.6500
0.6494,-0.0100,0.6500,0.6500
0.6544,-0.0100,0.6500,0.6500
0.6594,-0.0100,0.6500,0.6500
0.6644,-0.0100,0.6500,0.6500
0.6694,-0.0100,0.6500,0.6500
0.6744,-0.0100,0.6500,0.6500
0.6794,-0.0100,0.6500,0.6500
0.6844,-0.0100,0.6500,0.6500
0.6894,-0.0100,0.6500,0.6500
0.6944,-0.0100,0.6500,0.6500
0.6994,-0.0100,0.6500,0.6500
0.7044,-0.0100,0.6500,0.6500
0.7094,-0.0100,0.6500,0.6500
0.7144,-0.0100,0.6500,0.6500
0.7194,-0.0100,0.6500,0.6500
0.7244,-0.0100,0.6500,0.6500
0.7294,-0.0100,0.6500,0.6500
0.7344,-0.0100,0.6500,0.6500
0.7394,-0.0100,0.6500,0.6500
0.7444,-0.0100,0.6500,0.6500
0.7494,-0.0100,0.6500,0.6500
0.7544,-0.0100,0.6500,0.6500
0.7594,-0.0100,0.6500,0.6500
0.7644,-0.0100,0.6500,0.6500
0.7694,-0.0100,0.6500,0.6500
0.7744,-0.0100,0.6500,0.6500
0.7794,-0.0100,0.6500,0.6500
0.7844,-0.0100,0.6500,0.6500
0.7894,-0.0100,0.6500,0.6500
0.7944,-0.0100,0.6500,0.6500
0.7995,-0.0100,0.6500,0.6500
0.8045,-0.0100,0.6500,0.6500
0.8095,-0.0100,0.6500,0.6500
0.8145,-0.0100,0.6500,0.6500
0.8195,-0.0100,0.6500,0.6500
0.8245,-0.0100,0.6500,0.6500
0.8295,-0.0100,0.6500,0.6500
0.8345,-0.0100,0.6500,0.6500
0.8395,-0.0100,0.6500,0.6500
0.8445,-0.0100,0.6500,0.6500
0.8495,-0.0100,0.6500,0.6500
0.8545,-0.0100,0.6500,0.6500
0.8595,-0.0100,0.6500,0.6500
0.8645,-0.0100,0.6500,0.6500
0.8695,-0.0100,0.6500,0.6500
0.8745,-0.0100,0.6500,0.6500
0.8795,-0.0100,0.6500,0.6500
0.8845,-0.0100,0.6500,0.6500
0.8895,-0.0100,0.6500,0.6500
0.8945,-0.0100,0.6500,0.6500
0.8995,-0.0100,0.6500,0.6500
0.9045,-0.0100,0.6500,0.6500
0.9095,-0.0100,0.6500,0.6500
0.9145,-0.0100,0.6500,0.6500
0.9195,-0.0100,0.6500,0.6500
0.9245,-0.0100,0.6500,0.6500
0.9295,-0.0100,0.6500,0.6500
0.9345,-0.0100,0.6500,0.6500
0.9395,-0.0100,0.6500,0.6500
0.9445,-0.0100,0.6500,0.6500
0.9495,-0.0100,0.6500,0.6500
0.9545,-0.0100,0.6500,0.6500
0.9595,-0.0100,0.6500,0.6500
0.9645,-0.0100,0.6500,0.6500
0.9695,-0.0100,0.6500,0.6500
0.9745,-0.0100,0.6500,0.6500
0.9795,-0.0100,0.6500,0.6500
0.9845,-0.0100,0.6500,0.6500
0.9895,-0.0100,0.6500,0.6500
0.9945,-0.0100,0.6500,0.6500
0.9995,-0.0100,0.6500,0.6500
1.0045,-0.0100,0.6500,0.6500
1.0095,-0.0100,0.6500,0.6500
1.0145,-0.0100,0.6500,0.6500
1.0195,-0.0100,0.6500,0.6500
1.0245,-0.0100,0.6500,0.6500
1.0295,-0.0100,0.6500,0.6500
1.0345,-0.0100,0.6500,0.6500
1.0395,-0.0100,0.6500,0.6500
1.0445,-0.0100,0.6500,0.6500
1.0495,-0.0100,0.6500,0.6500
1.0545,-0.0100,0.6500,0.6500
1.0595,-0.0100,0.6500,0.6500
1.0645,-0.0100,0.6500,0.6500
1.0695,-0.0100,0.6500,0.6500
1.0745,-0.0100,0.6500,0.6500
1.0795,-0.0100,0.6500,0.6500
1.0845,-0.0100,0.6500,0.6500
1.0895,-0.0100,0.6500,0.6500
1.0945,-0.0100,0.6500,0.6500
1.0995,-0.0100,0.6500,0.6500
1.1045,-0.0100,0.6500,0.6500
1.1095,-0.0100,0.6500,0.6500
1.1145,-0.0100,0.6500,0.6500
1.1195,-0.0100,0.6500,0.6500
1.1245,-0.0100,0.6500,0.6500
1.1295,-0.0100,0.6500,0.6500
1.1345,-0.0100,0.6500,0.6500
1.1395,-0.0100,0.6500,0.6500
1.1445,-0.0100,0.6500,0.6500
1.1495,-0.0100,0.6500,0.6500
1.1545,-0.0100,0.6500,0.6500
1.1595,-0.0100,0.6500,0.6500
1.1645,-0.0100,0.6500,0.6500
1.1695,-0.0100,0.6500,0.6500
1.1745,-0.0100,0.6500,0.6500
1.1795,-0.0100,0.6500,0.6500
1.1845,-0.0100,0.6500,0.6500
1.1895,-0.0100,0.6500,0.6500
1.1945,-0.0100,0.6500,0.6500
1.1995,-0.0100,0.6500,0.6500
1.2045,-0.0100,0.6500,0.6500
1.2095,-0.0100,0.6500,0.6500
1.2145,-0.0100,0.6500,0.6500
1.2195,-0.0100,0.6500,0.6500
1.2245,-0.0100,0.6500,0.6500
1.2295,-0.0100,0.6500,0.6500
1.2345,-0.0100,0.6500,0.6500
1.2395,-0.0100,0.6500,0.6500
1.2445,-0.0100,0.6500,0.6500
1.2495,-0.0100,0.6500,0.6500
1.2545,-0.0100,0.6500,0.6500
1.2595,-0.0100,0.6500,0.6500
1.2645,-0.0100,0.6500,0.6500
1.2695,-0.0100,0.6500,0.6500
1.2745,-0.0100,0.6500,0.6500
1.2795,-0.0100,0.6500,0.6500
1.2846,-0.0100,0.6500,0.6500
1.2896,-0.0100,0.6500,0.6500
1.2946,-0.0100,0.6500,0.6500
1.2996,-0.0100,0.6500,0.6500
1.3046,-0.0100,0.6500,0.6500
1.3096,-0.0100,0.6500,0.6500
1.3146,-0.0100,0.6500,0.6500
1.3196,-0.0100,0.6500,0.6500
1.3246,-0.0100,0.6500,0.6500
1.3296,-0.0100,0.6500,0.6500
1.3346,-0.0100,0.6500,0.6500
1.3396,-0.0100,0.6500,0.6500
1.3446,-0.0100,0.6500,0.6500
1.3496,-0.0100,0.6500,0.6500
1.3546,-0.0100,0.6500,0.6500
1.3596,-0.0100,0.6500,0.6500
1.3646,-0.0100,0.6500,0.6500
1.3696,-0.0100,0.6500,0.6500
1.3746,-0.0100,0.6500,0.6500
1.3796,-0.0100,0.6500,0.6500
1.3846,-0.0100,0.6500,0.6500
1.3896,-0.0100,0.6500,0.6500
1.3946,-0.0100,0.6500,0.6500
1.3996,-0.0100,0.6500,0.6500
1.4046,-0.0100,0.6500,0.6500
1.4096,-0.0100,0.6500,0.6500
1.4146,-0.0100,0.6500,0.6500
1.4196,-0.0100,0.6500,0.6500
1.4246,-0.0100,0.6500,0.6500
1.4296,-0.0100,0.6500,0.6500
1.4346,-0.0100,0.6500,0.6500
1.4396,-0.0100,0.6500,0.6500
1.4446,-0.0100,0.6500,0.6500
1.4496,-0.0100,0.6500,0.6500
1.4546,-0.0100,0.6500,0.6500
1.4596,-0.0100,0.6500,0.6500
1.4646,-0.0100,0.6500,0.6500
1.4696,-0.0100,0.6500,0.6500
1.4746,-0.0100,0.6500,0.6500
1.4796,-0.0100,0.6500,0.6500
1.4846,-0.0100,0.6500,0.6500
1.4896,-0.0100,0.6500,0.6500
1.4946,-0.0100,0.6500,0.6500
1.4996,-0.0100,0.6500,0.6500
1.5046,-0.0100,0.6500,0.6500
1.5096,-0.0100,0.6500,0.6500
1.5146,-0.0100,0.6500,0.6500
1.5196,-0.0100,0.6500,0.6500
1.5246,-0.0100,0.6500,0.6500
1.5296,-0.0100,0.6500,0.6500
1.5346,-0.0100,0.6500,0.6500
1.5396,-0.0100,0.6500,0.6500
1.5446,-0.0100,0.6500,0.6500
1.5496,-0.0100,0.6500,0.6500
1.5546,-0.0100,0.6500,0.6500
1.5596,-0.0100,0.6500,0.6500
1.5646,-0.0100,0.6500,0.6500
1.5696,-0.0100,0.6500,0.6500
